name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Bahir Dar,Ethiopia,7,06-12-2023,31-12-2023,25,32
Bake Kelate,Ethiopia,2,20-10-2023,31-12-2023,72,79
Bako,Ethiopia,1,02-02-2023,31-12-2023,332,339
Barbara,Ethiopia,1,01-12-2023,31-12-2023,30,37
Becho,Ethiopia,1,07-02-2023,31-12-2023,327,334
Bekoji,Ethiopia,2,20-05-2023,31-12-2023,225,232
Belago,Ethiopia,1,06-04-2023,31-12-2023,269,276
Belessa,Ethiopia,1,25-09-2023,31-12-2023,97,104
Berehet,Ethiopia,1,11-10-2023,31-12-2023,81,88
Bichena,Ethiopia,3,21-08-2023,31-12-2023,132,139
Bistima,Ethiopia,1,10-11-2023,31-12-2023,51,58
Bitile,Ethiopia,1,16-08-2023,31-12-2023,137,144
Boji,Ethiopia,1,23-08-2023,31-12-2023,130,137
Bole town,Ethiopia,2,28-06-2023,31-12-2023,186,193
Bore,Ethiopia,1,08-06-2023,31-12-2023,206,213
Bube town,Ethiopia,2,31-10-2023,31-12-2023,61,68
Bue,Ethiopia,1,02-08-2023,31-12-2023,151,158
Bugna,Ethiopia,1,04-12-2023,31-12-2023,27,34
Bule Hora,Ethiopia,8,24-11-2023,31-12-2023,37,44
Bure,Ethiopia,10,24-11-2023,31-12-2023,37,44
Burka Sorema,Ethiopia,1,14-09-2023,31-12-2023,108,115
Chanka,Ethiopia,1,11-07-2023,31-12-2023,173,180
Chefa Robit,Ethiopia,4,05-11-2023,31-12-2023,56,63
Chinhahsan,Ethiopia,1,15-01-2023,31-12-2023,350,357
Chire,Ethiopia,2,25-01-2023,31-12-2023,340,347
Chiro,Ethiopia,1,13-01-2023,31-12-2023,352,359
Chobi,Ethiopia,3,10-08-2023,31-12-2023,143,150
Chuahit,Ethiopia,3,05-11-2023,31-12-2023,56,63
Dabala Bolo,Ethiopia,2,22-10-2023,31-12-2023,70,77
Dabat,Ethiopia,4,04-09-2023,31-12-2023,118,125
Daleti-2,Ethiopia,3,06-12-2023,31-12-2023,25,32
Dangila,Ethiopia,1,07-08-2023,31-12-2023,146,153
Debeka,Ethiopia,1,23-08-2023,31-12-2023,130,137
Debre Berhan,Ethiopia,6,02-11-2023,31-12-2023,59,66
Debre Birhan,Ethiopia,6,21-10-2023,31-12-2023,71,78
Debre Elias,Ethiopia,5,30-05-2023,31-12-2023,215,222
Debre Markos,Ethiopia,14,19-10-2023,31-12-2023,73,80
Debre Sina,Ethiopia,3,16-08-2023,31-12-2023,137,144
Debre Tabor,Ethiopia,8,28-08-2023,31-12-2023,125,132
Debre Werk,Ethiopia,2,21-10-2023,31-12-2023,71,78
Debre Zeyit,Ethiopia,1,15-05-2023,31-12-2023,230,237
Dedu,Ethiopia,3,09-10-2023,31-12-2023,83,90
Dega,Ethiopia,3,18-11-2023,31-12-2023,43,50
Dega Damot,Ethiopia,2,16-09-2023,31-12-2023,106,113
Degdegela,Ethiopia,1,06-03-2023,31-12-2023,300,307
Degem Hambiso,Ethiopia,2,19-11-2023,31-12-2023,42,49
Degolo,Ethiopia,2,25-11-2023,31-12-2023,36,43
Dejen,Ethiopia,1,03-07-2023,31-12-2023,181,188
Dembecha,Ethiopia,12,03-11-2023,31-12-2023,58,65
Dembi Dolo,Ethiopia,1,02-02-2023,31-12-2023,332,339
Dessie,Ethiopia,1,25-08-2023,31-12-2023,128,135
Dibate,Ethiopia,1,01-12-2023,31-12-2023,30,37
Digo Tsion,Ethiopia,5,07-11-2023,31-12-2023,54,61
Dikul Kana,Ethiopia,2,05-09-2023,31-12-2023,117,124
Dima,Ethiopia,1,09-07-2023,31-12-2023,175,182
Dimma,Ethiopia,2,02-07-2023,31-12-2023,182,189
Dugda,Ethiopia,2,31-10-2023,31-12-2023,61,68
Dugda Goro,Ethiopia,1,09-09-2023,31-12-2023,113,120
Dukem,Ethiopia,1,23-10-2023,31-12-2023,69,76
Ejere,Ethiopia,5,05-12-2023,31-12-2023,26,33
Ejerssa,Ethiopia,1,01-11-2023,31-12-2023,60,67
Ela,Ethiopia,1,19-08-2023,31-12-2023,134,141
Enewari,Ethiopia,2,23-09-2023,31-12-2023,99,106
Fentale,Ethiopia,3,31-10-2023,31-12-2023,61,68
Feres Bet,Ethiopia,6,01-11-2023,31-12-2023,60,67
Filakit,Ethiopia,1,25-07-2023,31-12-2023,159,166
Fincha,Ethiopia,1,19-05-2023,31-12-2023,226,233
Fincha Sugar Factory,Ethiopia,1,20-11-2023,31-12-2023,41,48
Finchawa,Ethiopia,2,17-08-2023,31-12-2023,136,143
Finjit,Ethiopia,1,31-07-2023,31-12-2023,153,160
Finote Selam,Ethiopia,8,02-11-2023,31-12-2023,59,66
Fiyel Wuha,Ethiopia,1,09-07-2023,31-12-2023,175,182
Fogera,Ethiopia,1,27-07-2023,31-12-2023,157,164
Gabo Robi town,Ethiopia,1,11-07-2023,31-12-2023,173,180
Galesa,Ethiopia,1,14-06-2023,31-12-2023,200,207
Gambella,Ethiopia,4,18-07-2023,31-12-2023,166,173
Gamo,Ethiopia,1,26-08-2023,31-12-2023,127,134
Gashena,Ethiopia,1,03-10-2023,31-12-2023,89,96
Gebeze Mariam,Ethiopia,5,07-11-2023,31-12-2023,54,61
Gedeb,Ethiopia,2,26-01-2023,31-12-2023,339,346
Gemza,Ethiopia,4,01-12-2023,31-12-2023,30,37
Gidole,Ethiopia,1,02-01-2023,31-12-2023,363,370
Gilgel Belles,Ethiopia,2,03-12-2023,31-12-2023,28,35
Gimbi,Ethiopia,1,25-10-2023,31-12-2023,67,74
Ginde Berbere,Ethiopia,3,13-10-2023,31-12-2023,79,86
Gindewoin,Ethiopia,1,29-09-2023,31-12-2023,93,100
Gobesa,Ethiopia,2,06-12-2023,31-12-2023,25,32
Gobiye,Ethiopia,7,19-11-2023,31-12-2023,42,49
Gogo,Ethiopia,2,19-07-2023,31-12-2023,165,172
Gohatsion,Ethiopia,3,15-11-2023,31-12-2023,46,53
Golije Town,Ethiopia,1,20-11-2023,31-12-2023,41,48
Gomosa Sato,Ethiopia,1,10-01-2023,31-12-2023,355,362
Gonder,Ethiopia,8,24-09-2023,31-12-2023,98,105
Gulele,Ethiopia,1,18-11-2023,31-12-2023,43,50
Gumbichu,Ethiopia,1,16-06-2023,31-12-2023,198,205
Gumi Eldalo,Ethiopia,1,16-08-2023,31-12-2023,137,144
Guna,Ethiopia,2,23-11-2023,31-12-2023,38,45
Gundo Meskel,Ethiopia,17,06-11-2023,31-12-2023,55,62
Gutin,Ethiopia,4,24-06-2023,31-12-2023,190,197
Hana,Ethiopia,1,27-04-2023,31-12-2023,248,255
Harbu Chulule,Ethiopia,1,12-09-2023,31-12-2023,110,117
Hareto,Ethiopia,1,19-11-2023,31-12-2023,42,49
Haro,Ethiopia,1,26-05-2023,31-12-2023,219,226
Haru Town,Ethiopia,4,31-10-2023,31-12-2023,61,68
Hinde,Ethiopia,1,27-11-2023,31-12-2023,34,41
Homa town,Ethiopia,2,31-10-2023,31-12-2023,61,68
Hosale,Ethiopia,1,15-01-2023,31-12-2023,350,357
Hurufa,Ethiopia,2,02-08-2023,31-12-2023,151,158
