name,country,event_count,start_date,end_date,conflict_date,modified_conflict_date
Shenen,Ethiopia,1,28-10-2023,12-01-2024,76,83
Shera,Ethiopia,2,25-08-2023,12-01-2024,140,147
Shewa Robit,Ethiopia,18,23-12-2023,12-01-2024,20,27
Shikute,Ethiopia,4,18-10-2023,12-01-2024,86,93
Shilabo,Ethiopia,1,10-09-2023,12-01-2024,124,131
Shino,Ethiopia,2,19-10-2023,12-01-2024,85,92
Sire,Ethiopia,1,02-02-2023,12-01-2024,344,351
Sirinka,Ethiopia,1,21-10-2023,12-01-2024,83,90
Sodo,Ethiopia,1,04-10-2023,12-01-2024,100,107
Sululta,Ethiopia,2,03-11-2023,12-01-2024,70,77
Teji,Ethiopia,1,12-09-2023,12-01-2024,122,129
Tepi,Ethiopia,1,11-06-2023,12-01-2024,215,222
Tis Abay,Ethiopia,2,30-11-2023,12-01-2024,43,50
Torre,Ethiopia,1,30-01-2023,12-01-2024,347,354
Tulu Bolo,Ethiopia,1,12-09-2023,12-01-2024,122,129
Tulu Guled,Ethiopia,3,12-03-2023,12-01-2024,306,313
Tulu Milki,Ethiopia,2,15-10-2023,12-01-2024,89,96
Ula Lankesa,Ethiopia,1,19-11-2023,12-01-2024,54,61
Wabe,Ethiopia,2,16-11-2023,12-01-2024,57,64
Wadera,Ethiopia,2,19-12-2023,12-01-2024,24,31
Wama Tobera,Ethiopia,1,23-08-2023,12-01-2024,142,149
Wara Jarso,Ethiopia,1,01-11-2023,12-01-2024,72,79
Wedesa,Ethiopia,4,17-05-2023,12-01-2024,240,247
Wegeltena,Ethiopia,10,02-01-2024,12-01-2024,10,17
Weldiya,Ethiopia,13,12-12-2023,12-01-2024,31,38
Welenchiti,Ethiopia,3,31-10-2023,12-01-2024,73,80
Welkite,Ethiopia,3,15-10-2023,12-01-2024,89,96
Wereta,Ethiopia,3,26-08-2023,12-01-2024,139,146
Wesen Kurkur,Ethiopia,1,24-01-2023,12-01-2024,353,360
Weyn Wuha,Ethiopia,7,20-11-2023,12-01-2024,53,60
Wichale,Ethiopia,5,03-01-2024,12-01-2024,9,16
Wirgesa,Ethiopia,5,03-01-2024,12-01-2024,9,16
Yabelo,Ethiopia,1,03-01-2023,12-01-2024,374,381
Yaya Haro,Ethiopia,2,04-12-2023,12-01-2024,39,46
Yefag,Ethiopia,1,02-08-2023,12-01-2024,163,170
Yejube,Ethiopia,2,22-12-2023,12-01-2024,21,28
Zinanfe,Ethiopia,1,04-02-2023,12-01-2024,342,349
Ziway,Ethiopia,2,11-06-2023,12-01-2024,215,222
Zobel Mountains,Ethiopia,1,18-10-2023,12-01-2024,86,93
